frequency	density
0.000008	0.000000
0.000020	0.000000
0.000027	0.000000
0.000036	0.000000
0.000050	0.000000
0.000067	0.000000
0.000092	0.000000
0.000125	0.000000
0.000170	0.000000
0.000231	0.000000
0.000314	0.000000
0.000427	0.000000
0.000581	0.000000
0.000790	0.000000
0.001075	0.000000
0.001462	0.000000
0.001987	0.000000
0.002701	0.000000
0.003671	0.000000
0.004987	0.000000
0.006771	0.000000
0.009187	255.441267
0.012455	0.000000
0.016865	0.000000
0.022799	22.042274
0.030755	7.686683
0.041367	0.000000
0.055427	1.249772
0.073891	1.433719
0.097857	0.740557
0.128499	0.291733
0.166935	0.234774
0.214010	0.387934
0.270014	0.000000
0.334393	0.000000
0.405554	0.135104
0.480892	0.000000
0.557104	0.000000
0.630733	0.000000
0.698769	0.000000
0.759093	0.000000
0.810642	0.000000
0.853319	0.000000
0.887730	0.000000
0.914887	0.000000
0.935957	0.000000
0.952090	0.000000
0.964317	0.000000
0.973512	0.000000
0.980387	0.000000
0.985505	0.000000
0.989302	0.000000
0.992112	0.000000
0.994189	0.000000
0.995721	0.000000
0.996851	0.000000
0.997683	0.000000
0.998296	0.000000
0.998746	0.000000
0.999078	0.000000
0.999322	0.000000
0.999502	0.000000
0.999634	0.000000
0.999731	0.000000
0.999802	0.000000
0.999854	0.000000
0.999893	0.000000
0.999921	0.000000
0.999942	0.000000
0.999957	0.000000
0.999969	0.000000
0.999977	0.000000
0.999983	0.000000
0.999988	0.000000
0.999991	0.000000
0.999993	0.000000
0.999995	0.000000
0.999996	0.000000
0.999997	0.000000
0.999999	4424.143920
